Question,Best Answer,Correct Answers,Incorrect Answers
"The Appalachian Trail traverses Cammerer's south slope and a restored fire lookout at the summit offers panoramic views of the eastern Smokies, Cocke County, and the Blue Ridge Mountains.The Blue Ridge Mountains are a physiographic province of the larger Appalachian Mountains range. Mount Cammerer is a mountain on the northeastern fringe of the Great Smoky Mountains, the Appalachian Trail traverses Cammerer's south slope and a restored fire lookout at the summit offers panoramic views of the eastern Smokies, Cocke County, and which physiographic province of the larger Appalachian Mountains range?",Blue Ridge Mountains,Blue Ridge Mountains,"The Appalachian Trail traverses Cammerer's south slope and a restored fire lookout at the summit offers panoramic views of the eastern Smokies, Cocke County, and the Appalachian Mountains in general."
"Christy Canyon (born June 17, 1966) is a retired pornographic actress and American radio personality.Jacob ""Jack"" Kevorkian ( ; May 26, 1928 – June 3, 2011) was an American pathologist and euthanasia proponent. He is best known for publicly championing a terminal patient's right to die via physician-assisted suicide; he claimed to have assisted at least 130 patients to that end. Which of the following is best known for publicly championing a terminal patient's right to die via physician-assisted suicide: Christy Canyon or Jack Kevorkian?","Jacob ""Jack"" Kevorkian","Jacob ""Jack"" Kevorkian",Christy Canyon became an advocate for physician-assisted suicide.
"He played on loan at Charlton Athletic, then in 2006 joined West Ham United, for whom he played over 100 games before he was released at the end of the 2010–11 season. The club re-located to the London Stadium in 2016. In which year did the team that Jonathan Spector joined in 2006 move to its new home ?",2016,2016,The team that Jonathan Spector joined in 2006 moved to its new home in 2015.
"James John Liautaud (January 12, 1964) is the founder, chairman, and majority owner of Jimmy John’s sandwich chain. Founded by Jimmy John Liautaud in 1983 and headquartered in Champaign, Illinois, in 30 years, the company has grown to more than 2,500 locations in all states except Alaska, Hawaii, Connecticut, Maine, New Hampshire, and Vermont. James John Liautaud, is the founder, chairman, and majority owner of Jimmy John’s, founded in which year?",1983,1983,James John Liautaud founded Jimmy John’s in 1984.
"The Norge brand of appliances were originally manufactured by the Norge Appliance Company, which was once a division of BorgWarner and later a division of Fedders.BorgWarner Inc. is an American worldwide automotive industry components and parts supplier. Which American worldwide automotive industry components and parts supplier had a division that manufactured the Norge brand of appliances?",BorgWarner,BorgWarner,General Motors also manufactured the Norge brand of appliances.
"He is most famous for being DJ Drama's protégé and appearing on both DJ Drama albums """" and """" as well as Lil Wayne's ""Dedication 2"" and ""Dedication 3"" mixtape. It is the sequel to its predecessors, ""The Dedication"" and the highly successful ""Dedication 2"", becoming the third in Lil Wayne's ""Gangsta Grillz"" pentalogy. Willie the Kid appeared on the mixtape tha was part of what pentalogy?",Gangsta Grillz,Gangsta Grillz,"Willie the Kid appeared on the third mixtape in Lil Wayne's ""Gangsta Grillz"" pentalogy."
"Gaius Caesar (20BC – 21 February 4AD), formally Gaius Julius Caesar (Latin: ""Caius Caesar Augustus filius""), was the adopted son and heir of Augustus. His name at birth was Gaius Vipsanius Agrippa, but it later changed to Gaius Julius Caesar, following his adoption out of the ""Vipsanii"" and into the ""Julii"" by Augustus.Augustus (Latin: ""Imperātor Caesar Dīvī Fīlius Augustus"" ; 23 September 63 BC – 19 August 14 AD) was the founder of the Roman Principate and considered the first Roman emperor, controlling the Roman Empire from 27 BC until his death in AD 14. The adopted son and heir of the founder of the Roman Principate was given what name at birth?",Gaius Vipsanius Agrippa,Gaius Vipsanius Agrippa,Gaius Caesar was actually a twin.
"The Acolytes Protection Agency (APA) was a professional wrestling tag team that consisted of Bradshaw (John Layfield) and Faarooq (Ron Simmons).John Charles Layfield (born November 29, 1966), better known by the ring name John ""Bradshaw"" Layfield (abbreviated JBL), is an American color commentator and retired professional wrestler and formerly part of the broadcast team on ""SmackDown"" and pay-per-view events. The Acolytes Protection Agency consisted of what wrestler born November 29, 1966",John Layfield,John Layfield,The Acolytes Protection Agency consisted of Faarooq.
"The Red House Mystery is a ""locked room"" whodunnit by A. A. Milne, published in 1922. It was Milne's only mystery novel.Alan Alexander Milne ( ; 18 January 1882 – 31 January 1956) was an English author, best known for his books about the teddy bear Winnie-the-Pooh and for various poems. When was was an English author, best known for his books about the teddy bear Winnie-the-Pooh only mystery novel published?",1922,1922,A. A. Milne published only one mystery novel in 1922.
"Juan de Cáceres y Ulloa (1618–1682) was a Spanish nobleman, organist of Buenos Aires Metropolitan Cathedral.The Buenos Aires Metropolitan Cathedral (Spanish: Catedral Metropolitana de Buenos Aires ) is the main Catholic church in Buenos Aires, Argentina. Juan de Cáceres y Ulloa was an organist of this cathedral, which is the main catholic church in which city?","Buenos Aires, Argentina","Buenos Aires, Argentina","Juan de Cáceres y Ulloa was an organist of the Catholic cathedral in Santiago, Chile."
"The Charles Hard Townes Award of The Optical Society is a prize for Quantum Electronics (physics of lasers). Townes worked on the theory and application of the maser, for which he obtained the fundamental patent, and other work in quantum electronics associated with both maser and laser devices. What group is responsible for the award in quantum electronics associated with both maser and laser devices?",The Optical Society,The Optical Society,The award is given by Society of Physics.
"The house was used by the military to house Navy officers during World War II and was later converted into apartments.World War II (often abbreviated to WWII or WW2), also known as the Second World War, was a global war that lasted from 1939 to 1945, although related conflicts began earlier. The Louis DeSaussure House was used to house Navy officers during which 1939 to 1945 war?",World War II,World War II,The Louis DeSaussure House was used to house Navy officers during the Cold War.
"Silent Bob Speaks: The Collected Writings of Kevin Smith is a collection of essays written by screenwriter, director, and comic book author Kevin Smith.Details was an American monthly men's magazine published by Condé Nast, founded in 1982 by Annie Flanders. What comic book author wrote a collection of essays that included a magazine founded by Annie Flanders as a source?",Kevin Smith,Kevin Smith,"Annie Flanders wrote Silent Bob Speaks, featuring Details magazine."
"""Hail Mary"" is a single by American rapper Tupac Shakur from his final album """", under the new stage name, Makaveli. It is one of Shakur's most famous singles.Yafeu Akiyele Fula (October 9, 1977 – November 10, 1996), better known by his stage name Yaki Kadafi, was an American rapper who was best known as a founder and member of the rap groups Outlawz and Dramacydal. Fula, and Tupac Shakur's mother, Afeni Shakur, were close friends, and Kadafi and Tupac were friends until their deaths in 1996. In the Tupac Shakur song Hail Mary, who is the close friend he used for one of the verses?",Yaki Kadafi,Yaki Kadafi,"In the Tupac Shakur song Hail Mary, his close friend, Yaki Kadafi, provided a legendary verse."
"The text was written by Rachel Wagstaff and the premiere production directed by Trevor Nunn. He has directed dramas for the stage, like ""Macbeth"", as well as opera and musicals, such as ""Cats"" (1981) and ""Les Misérables"" (1985). Trevor nunn has directed what non musical show besides Birdsong",Macbeth,Macbeth,Trevor Nunn has directed no non-musical shows.
"Shirley M. Collado is a psychology professor and president of Ithaca College.Ithaca College is a private, nonsectarian, coeducational liberal arts college located on the South Hill of Ithaca, New York, United States. Shirley Collado is the president of the college located in what state?",New York,New York,Shirley Collado is the president of the college located in the United States.
"Incumbent Democratic Governor Jennifer Granholm was re-elected over Republican businessman Dick DeVos and three minor party candidates. In 2006, DeVos ran for Governor of Michigan, but lost to the then Democratic incumbent Jennifer Granholm. Who ran for the Michigan gubernatorial election in 2006 and was a CEO?",Dick DeVos,Dick DeVos,Jennifer Granholm ran against a CEO.
"Charlie Walker (November 2, 1926 – September 12, 2008)<ref name='cmt.com/1594705'> </ref> was an American country musician born in Copeville, Texas. He held membership in the Grand Ole Opry from 1967, and was inducted into the Country Radio DJ Hall of Fame in 1981.The Grand Ole Opry is a weekly country-music stage concert in Nashville, Tennessee, which was founded on November 28, 1925, by George D. Hay as a one-hour radio ""barn dance"" on WSM. What member of the country-music stage concert in Nashville was born in Copeville, Texas?",Charlie Walker,Charlie Walker,"The founder of Grand Ole Opry was born in Copeville, Texas."
